source,id,kp,dir,t_ms,theta,v
test kp20.txt,1,-20.0,-1,0.000,0.1013,4.303
test kp20.txt,1,-20.0,-1,1.000,0.0991,4.259
test kp20.txt,1,-20.0,-1,2.000,0.1046,4.369
test kp20.txt,1,-20.0,-1,3.000,0.0995,4.266
test kp20.txt,1,-20.0,-1,4.000,0.0998,4.274
test kp20.txt,1,-20.0,-1,5.000,0.1009,4.296
test kp20.txt,1,-20.0,-1,6.000,0.0995,4.266
test kp20.txt,1,-20.0,-1,7.000,0.0984,4.245
test kp20.txt,1,-20.0,-1,8.000,0.0962,4.201
test kp20.txt,1,-20.0,-1,9.000,0.0947,4.172
test kp20.txt,1,-20.0,-1,10.000,0.0893,4.062
test kp20.txt,1,-20.0,-1,11.000,0.0882,4.04
test kp20.txt,1,-20.0,-1,12.000,0.0838,3.953
test kp20.txt,1,-20.0,-1,13.000,0.0842,3.96
test kp20.txt,1,-20.0,-1,14.000,0.0794,3.865
test kp20.txt,1,-20.0,-1,15.000,0.0765,3.807
test kp20.txt,1,-20.0,-1,16.000,0.0703,3.683
test kp20.txt,1,-20.0,-1,17.000,0.0667,3.61
test kp20.txt,1,-20.0,-1,18.000,0.0612,3.501
test kp20.txt,1,-20.0,-1,19.000,0.0583,3.443
test kp20.txt,1,-20.0,-1,20.000,0.09,4.077
test kp20.txt,1,-20.0,-1,21.000,0.0539,3.355
test kp20.txt,1,-20.0,-1,22.000,0.067,3.618
test kp20.txt,1,-20.0,-1,23.000,0.0452,3.18
test kp20.txt,1,-20.0,-1,24.000,0.0488,3.253
test kp20.txt,1,-20.0,-1,25.000,0.0466,3.209
test kp20.txt,1,-20.0,-1,26.000,0.0386,3.049
test kp20.txt,1,-20.0,-1,27.000,0.0328,2.932
test kp20.txt,1,-20.0,-1,28.000,0.024,2.757
test kp20.txt,1,-20.0,-1,29.000,0.0218,2.714
test kp20.txt,1,-20.0,-1,30.000,0.0175,2.626
test kp20.txt,1,-20.0,-1,31.000,0.0145,2.568
test kp20.txt,1,-20.0,-1,32.000,0.0116,2.509
test kp20.txt,1,-20.0,-1,33.000,0.0036,2.349
test kp20.txt,1,-20.0,-1,34.000,-0.0033,2.211
test kp20.txt,1,-20.0,-1,35.000,-0.0256,1.766
test kp20.txt,1,-20.0,-1,36.000,-0.0022,2.232
test kp20.txt,1,-20.0,-1,37.000,-0.0106,2.065
test kp20.txt,1,-20.0,-1,38.000,-0.0117,2.043
test kp20.txt,1,-20.0,-1,39.000,-0.0226,1.824
test kp20.txt,1,-20.0,-1,40.000,-0.0241,1.795
test kp20.txt,1,-20.0,-1,41.000,-0.0299,1.678
test kp20.txt,1,-20.0,-1,42.000,-0.0325,1.627
test kp20.txt,1,-20.0,-1,43.000,-0.039,1.496
test kp20.txt,1,-20.0,-1,44.000,-0.0401,1.474
test kp20.txt,1,-20.0,-1,45.000,-0.0449,1.379
test kp20.txt,1,-20.0,-1,46.000,-0.0482,1.314
test kp20.txt,1,-20.0,-1,47.000,-0.0507,1.263
test kp20.txt,1,-20.0,-1,48.000,-0.0554,1.168
test kp20.txt,1,-20.0,-1,49.000,-0.0576,1.124
test kp20.txt,1,-20.0,-1,50.000,-0.0613,1.051
test kp20.txt,1,-20.0,-1,51.000,-0.0686,0.906
test kp20.txt,1,-20.0,-1,52.000,-0.0693,0.891
test kp20.txt,1,-20.0,-1,53.000,-0.0722,0.833
test kp20.txt,1,-20.0,-1,54.000,-0.0766,0.745
test kp20.txt,1,-20.0,-1,55.000,-0.0788,0.701
test kp20.txt,1,-20.0,-1,56.000,-0.0817,0.643
test kp20.txt,1,-20.0,-1,57.000,-0.0861,0.556
test kp20.txt,1,-20.0,-1,58.000,-0.0875,0.527
test kp20.txt,1,-20.0,-1,59.000,-0.0875,0.527
test kp20.txt,1,-20.0,-1,60.000,-0.0926,0.424
test kp20.txt,1,-20.0,-1,61.000,-0.0952,0.373
test kp20.txt,1,-20.0,-1,62.000,-0.0966,0.344
test kp20.txt,1,-20.0,-1,63.000,-0.0996,0.286
test kp20.txt,1,-20.0,-1,64.000,-0.1028,-0.316
test kp20.txt,1,-20.0,-1,65.000,-0.1036,-0.33
test kp20.txt,1,-20.0,-1,66.000,-0.105,-0.359
test kp20.txt,1,-20.0,-1,67.000,-0.1152,-0.564
test kp20.txt,1,-20.0,-1,68.000,-0.1087,-0.432
test kp20.txt,1,-20.0,-1,69.000,-0.1119,-0.498
test kp20.txt,1,-20.0,-1,70.000,-0.1167,-0.593
test kp20.txt,1,-20.0,-1,71.000,-0.1171,-0.6
test kp20.txt,1,-20.0,-1,72.000,-0.1174,-0.607
test kp20.txt,1,-20.0,-1,73.000,-0.1167,-0.593
test kp20.txt,1,-20.0,-1,74.000,-0.1218,-0.695
test kp20.txt,1,-20.0,-1,75.000,-0.1218,-0.695
test kp20.txt,1,-20.0,-1,76.000,-0.1211,-0.68
test kp20.txt,1,-20.0,-1,77.000,-0.1225,-0.709
test kp20.txt,1,-20.0,-1,78.000,-0.1218,-0.695
test kp20.txt,1,-20.0,-1,79.000,-0.1225,-0.709
test kp20.txt,1,-20.0,-1,80.011,-0.1276,-0.811
test kp20.txt,1,-20.0,-1,81.000,-0.1247,-0.753
test kp20.txt,1,-20.0,-1,82.000,-0.1247,-0.753
test kp20.txt,1,-20.0,-1,83.000,-0.1218,-0.695
test kp20.txt,1,-20.0,-1,84.000,-0.1254,-0.768
test kp20.txt,1,-20.0,-1,85.000,-0.1232,-0.724
test kp20.txt,1,-20.0,-1,86.000,-0.1269,-0.797
test kp20.txt,1,-20.0,-1,87.000,-0.124,-0.739
test kp20.txt,1,-20.0,-1,88.000,-0.1251,-0.76
test kp20.txt,1,-20.0,-1,89.000,-0.1251,-0.76
test kp20.txt,1,-20.0,-1,90.000,-0.1265,-0.79
test kp20.txt,1,-20.0,-1,91.000,-0.1262,-0.782
test kp20.txt,1,-20.0,-1,92.000,-0.1243,-0.746
test kp20.txt,1,-20.0,-1,93.000,-0.1262,-0.782
test kp20.txt,1,-20.0,-1,94.000,-0.1262,-0.782
test kp20.txt,1,-20.0,-1,95.000,-0.1243,-0.746
test kp20.txt,1,-20.0,-1,96.000,-0.1236,-0.731
test kp20.txt,1,-20.0,-1,97.000,-0.1225,-0.709
test kp20.txt,1,-20.0,-1,98.000,-0.1258,-0.775
test kp20.txt,1,-20.0,-1,99.000,-0.124,-0.739
test kp20.txt,1,-20.0,-1,100.000,-0.1269,-0.797
test kp20.txt,1,-20.0,-1,101.000,-0.1236,-0.731
test kp20.txt,1,-20.0,-1,102.000,-0.1262,-0.782
test kp20.txt,1,-20.0,-1,103.000,-0.1218,-0.695
test kp20.txt,1,-20.0,-1,104.000,-0.1229,-0.717
test kp20.txt,1,-20.0,-1,105.000,-0.1232,-0.724
test kp20.txt,1,-20.0,-1,106.000,-0.1225,-0.709
test kp20.txt,1,-20.0,-1,107.000,-0.1232,-0.724
test kp20.txt,1,-20.0,-1,108.000,-0.1218,-0.695
test kp20.txt,1,-20.0,-1,109.000,-0.1203,-0.666
test kp20.txt,1,-20.0,-1,110.000,-0.1189,-0.636
test kp20.txt,1,-20.0,-1,111.000,-0.1189,-0.636
test kp20.txt,1,-20.0,-1,112.000,-0.1171,-0.6
test kp20.txt,1,-20.0,-1,113.000,-0.1152,-0.564
test kp20.txt,1,-20.0,-1,114.000,-0.116,-0.578
test kp20.txt,1,-20.0,-1,115.000,-0.116,-0.578
test kp20.txt,1,-20.0,-1,116.000,-0.1141,-0.542
test kp20.txt,1,-20.0,-1,117.000,-0.116,-0.578
test kp20.txt,1,-20.0,-1,118.000,-0.113,-0.52
test kp20.txt,1,-20.0,-1,119.000,-0.116,-0.578
test kp20.txt,1,-20.0,-1,120.000,-0.1109,-0.476
test kp20.txt,1,-20.0,-1,121.000,-0.1101,-0.461
test kp20.txt,1,-20.0,-1,122.000,-0.1101,-0.461
test kp20.txt,1,-20.0,-1,123.000,-0.1101,-0.461
test kp20.txt,1,-20.0,-1,124.000,-0.1105,-0.469
test kp20.txt,1,-20.0,-1,125.000,-0.1079,-0.418
test kp20.txt,1,-20.0,-1,126.000,-0.1076,-0.41
test kp20.txt,1,-20.0,-1,127.000,-0.1076,-0.41
test kp20.txt,1,-20.0,-1,128.000,-0.1058,-0.374
test kp20.txt,1,-20.0,-1,129.000,-0.1065,-0.389
test kp20.txt,1,-20.0,-1,130.000,-0.1043,-0.345
test kp20.txt,1,-20.0,-1,131.000,-0.105,-0.359
test kp20.txt,1,-20.0,-1,132.000,-0.1003,-0.265
test kp20.txt,1,-20.0,-1,133.000,-0.1021,-0.301
test kp20.txt,1,-20.0,-1,134.000,-0.1014,-0.287
test kp20.txt,1,-20.0,-1,135.000,-0.1043,-0.345
test kp20.txt,1,-20.0,-1,136.000,-0.1006,-0.272
test kp20.txt,1,-20.0,-1,137.000,-0.1006,-0.272
test kp20.txt,1,-20.0,-1,138.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,139.000,-0.0985,0.308
test kp20.txt,1,-20.0,-1,140.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,141.000,-0.0988,0.301
test kp20.txt,1,-20.0,-1,142.000,-0.0977,0.322
test kp20.txt,1,-20.0,-1,143.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,144.000,-0.097,0.337
test kp20.txt,1,-20.0,-1,145.000,-0.1014,-0.287
test kp20.txt,1,-20.0,-1,146.000,-0.097,0.337
test kp20.txt,1,-20.0,-1,147.000,-0.0992,0.293
test kp20.txt,1,-20.0,-1,148.000,-0.0992,0.293
test kp20.txt,1,-20.0,-1,149.000,-0.0988,0.301
test kp20.txt,1,-20.0,-1,150.000,-0.0955,0.366
test kp20.txt,1,-20.0,-1,151.000,-0.0934,0.41
test kp20.txt,1,-20.0,-1,152.000,-0.0963,0.352
test kp20.txt,1,-20.0,-1,153.000,-0.0948,0.381
test kp20.txt,1,-20.0,-1,154.000,-0.0955,0.366
test kp20.txt,1,-20.0,-1,155.000,-0.097,0.337
test kp20.txt,1,-20.0,-1,156.000,-0.0985,0.308
test kp20.txt,1,-20.0,-1,157.000,-0.0966,0.344
test kp20.txt,1,-20.0,-1,158.000,-0.0996,0.286
test kp20.txt,1,-20.0,-1,159.000,-0.0948,0.381
test kp20.txt,1,-20.0,-1,160.000,-0.0941,0.395
test kp20.txt,1,-20.0,-1,161.000,-0.0966,0.344
test kp20.txt,1,-20.0,-1,162.000,-0.0977,0.322
test kp20.txt,1,-20.0,-1,163.000,-0.0985,0.308
test kp20.txt,1,-20.0,-1,164.000,-0.0988,0.301
test kp20.txt,1,-20.0,-1,165.000,-0.0952,0.373
test kp20.txt,1,-20.0,-1,166.000,-0.0941,0.395
test kp20.txt,1,-20.0,-1,167.000,-0.0963,0.352
test kp20.txt,1,-20.0,-1,168.000,-0.0948,0.381
test kp20.txt,1,-20.0,-1,169.000,-0.0974,0.33
test kp20.txt,1,-20.0,-1,170.000,-0.0955,0.366
test kp20.txt,1,-20.0,-1,171.000,-0.0959,0.359
test kp20.txt,1,-20.0,-1,172.000,-0.0955,0.366
test kp20.txt,1,-20.0,-1,173.000,-0.0985,0.308
test kp20.txt,1,-20.0,-1,174.000,-0.0955,0.366
test kp20.txt,1,-20.0,-1,175.000,-0.0985,0.308
test kp20.txt,1,-20.0,-1,176.000,-0.0985,0.308
test kp20.txt,1,-20.0,-1,177.000,-0.0966,0.344
test kp20.txt,1,-20.0,-1,178.000,-0.0966,0.344
test kp20.txt,1,-20.0,-1,179.000,-0.0992,0.293
test kp20.txt,1,-20.0,-1,180.000,-0.0955,0.366
test kp20.txt,1,-20.0,-1,181.000,-0.0941,0.395
test kp20.txt,1,-20.0,-1,182.000,-0.0985,0.308
test kp20.txt,1,-20.0,-1,183.000,-0.0963,0.352
test kp20.txt,1,-20.0,-1,184.000,-0.0988,0.301
test kp20.txt,1,-20.0,-1,185.000,-0.0996,0.286
test kp20.txt,1,-20.0,-1,186.000,-0.0985,0.308
test kp20.txt,1,-20.0,-1,187.000,-0.0977,0.322
test kp20.txt,1,-20.0,-1,188.000,-0.1006,-0.272
test kp20.txt,1,-20.0,-1,189.000,-0.0985,0.308
test kp20.txt,1,-20.0,-1,190.000,-0.1003,-0.265
test kp20.txt,1,-20.0,-1,191.000,-0.1014,-0.287
test kp20.txt,1,-20.0,-1,192.000,-0.0992,0.293
test kp20.txt,1,-20.0,-1,193.000,-0.1006,-0.272
test kp20.txt,1,-20.0,-1,194.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,195.000,-0.0901,0.475
test kp20.txt,1,-20.0,-1,196.000,-0.1014,-0.287
test kp20.txt,1,-20.0,-1,197.000,-0.101,-0.279
test kp20.txt,1,-20.0,-1,198.000,-0.1036,-0.33
test kp20.txt,1,-20.0,-1,199.000,-0.1003,-0.265
test kp20.txt,1,-20.0,-1,200.000,-0.1014,-0.287
test kp20.txt,1,-20.0,-1,201.000,-0.1017,-0.294
test kp20.txt,1,-20.0,-1,202.000,-0.1032,-0.323
test kp20.txt,1,-20.0,-1,203.000,-0.1017,-0.294
test kp20.txt,1,-20.0,-1,204.000,-0.1032,-0.323
test kp20.txt,1,-20.0,-1,205.000,-0.1006,-0.272
test kp20.txt,1,-20.0,-1,206.000,-0.1014,-0.287
test kp20.txt,1,-20.0,-1,207.000,-0.1032,-0.323
test kp20.txt,1,-20.0,-1,208.000,-0.1014,-0.287
test kp20.txt,1,-20.0,-1,209.000,-0.1043,-0.345
test kp20.txt,1,-20.0,-1,210.000,-0.0988,0.301
test kp20.txt,1,-20.0,-1,211.000,-0.0996,0.286
test kp20.txt,1,-20.0,-1,212.000,-0.1017,-0.294
test kp20.txt,1,-20.0,-1,213.000,-0.1006,-0.272
test kp20.txt,1,-20.0,-1,214.000,-0.1006,-0.272
test kp20.txt,1,-20.0,-1,215.000,-0.1006,-0.272
test kp20.txt,1,-20.0,-1,216.000,-0.1021,-0.301
test kp20.txt,1,-20.0,-1,217.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,218.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,219.000,-0.0992,0.293
test kp20.txt,1,-20.0,-1,220.000,-0.0988,0.301
test kp20.txt,1,-20.0,-1,221.000,-0.1028,-0.316
test kp20.txt,1,-20.0,-1,222.000,-0.1003,-0.265
test kp20.txt,1,-20.0,-1,223.000,-0.1014,-0.287
test kp20.txt,1,-20.0,-1,224.000,-0.1028,-0.316
test kp20.txt,1,-20.0,-1,225.000,-0.1014,-0.287
test kp20.txt,1,-20.0,-1,226.000,-0.1032,-0.323
test kp20.txt,1,-20.0,-1,227.000,-0.1014,-0.287
test kp20.txt,1,-20.0,-1,228.000,-0.1021,-0.301
test kp20.txt,1,-20.0,-1,229.000,-0.1014,-0.287
